username,repo_name,stars_count,repo_url
home-assistant,core,59300,https://github.com/home-assistant/core
pi-hole,pi-hole,41800,https://github.com/pi-hole/pi-hole
MichMich,MagicMirror,17600,https://github.com/MichMich/MagicMirror
jarun,nnn,16000,https://github.com/jarun/nnn
rwaldron,johnny-five,13000,https://github.com/rwaldron/johnny-five
raysan5,raylib,12500,https://github.com/raysan5/raylib
microsoft,IoT-For-Beginners,12100,https://github.com/microsoft/IoT-For-Beginners
s-matyukevich,raspberry-pi-os,12100,https://github.com/s-matyukevich/raspberry-pi-os
thibmaek,awesome-raspberry-pi,11200,https://github.com/thibmaek/awesome-raspberry-pi
rust-embedded,rust-raspberrypi-OS-tutorials,10800,https://github.com/rust-embedded/rust-raspberrypi-OS-tutorials
therecipe,qt,9700,https://github.com/therecipe/qt
RetroPie,RetroPie-Setup,9700,https://github.com/RetroPie/RetroPie-Setup
openframeworks,openFrameworks,9300,https://github.com/openframeworks/openFrameworks
nasa,fprime,9300,https://github.com/nasa/fprime
hybridgroup,gobot,8200,https://github.com/hybridgroup/gobot
OctoPrint,OctoPrint,7300,https://github.com/OctoPrint/OctoPrint
navidrome,navidrome,6300,https://github.com/navidrome/navidrome
MycroftAI,mycroft-core,6200,https://github.com/MycroftAI/mycroft-core
pivpn,pivpn,6000,https://github.com/pivpn/pivpn
pikvm,pikvm,5900,https://github.com/pikvm/pikvm
SuLingGG,OpenWrt-Rpi,5800,https://github.com/SuLingGG/OpenWrt-Rpi
alphacep,vosk-api,5400,https://github.com/alphacep/vosk-api
alexellis,k3sup,5200,https://github.com/alexellis/k3sup
raspberrypi,documentation,4800,https://github.com/raspberrypi/documentation
cuberite,cuberite,4500,https://github.com/cuberite/cuberite
FD-,RPiPlay,4500,https://github.com/FD-/RPiPlay
CCOSTAN,Home-AssistantConfig,4300,https://github.com/CCOSTAN/Home-AssistantConfig
getumbrel,umbrel,4200,https://github.com/getumbrel/umbrel
dtcooper,raspotify,4200,https://github.com/dtcooper/raspotify
hybridgroup,cylon,4000,https://github.com/hybridgroup/cylon
patriciogonzalezvivo,glslViewer,3900,https://github.com/patriciogonzalezvivo/glslViewer
RaspAP,raspap-webgui,3900,https://github.com/RaspAP/raspap-webgui
anudeepND,whitelist,3700,https://github.com/anudeepND/whitelist
blynkkk,blynk-library,3600,https://github.com/blynkkk/blynk-library
ClemensElflein,OpenMower,3400,https://github.com/ClemensElflein/OpenMower
starrtc,starrtc-android-demo,3400,https://github.com/starrtc/starrtc-android-demo
hzeller,rpi-rgb-led-matrix,3100,https://github.com/hzeller/rpi-rgb-led-matrix
nhivp,Awesome-Embedded,3000,https://github.com/nhivp/Awesome-Embedded
sayanarijit,xplr,3000,https://github.com/sayanarijit/xplr
Drewsif,PiShrink,2900,https://github.com/Drewsif/PiShrink
